"Unique Name","Title","Resource URL title","Resource URL","Creator"
"facebook-australia-india-council","Australia-India Council","Australia-India Council","https://www.facebook.com/ausindiacouncil","Department of Foreign Affairs and Trade"
"facebook-australia-indonesia-institute","Australia-Indonesia Institute","Australia-Indonesia Institute","https://www.facebook.com/Australia-Indonesia-Institute-365324416930746/","Department of Foreign Affairs and Trade"
"facebook-australia-japan-foundation","Australia-Japan Foundation","Australia-Japan Foundation","https://www.facebook.com/ausjapanfoundation","Department of Foreign Affairs and Trade"
"facebook-australia-korea-foundation","Australia-Korea Foundation","Australia-Korea Foundation","https://www.facebook.com/auskoreafoundation","Department of Foreign Affairs and Trade"
"facebook-australiacom","Australia.com","Australia.com","https://www.facebook.com/SeeAustralia","Tourism Australia"
"twitter-australia-awards","AustraliaAwards","@AustraliaAwards","https://twitter.com/AustraliaAwards","Department of Foreign Affairs and Trade"
"linkedin-australian-accounting-standards-board","Australian Accounting Standards Board","Australian Accounting Standards Board","https://www.linkedin.com/company/aasb","Australian Accounting Standards Board"
"youtube-australian-air-force-cadets","Australian Air Force Cadets","Australian Air Force Cadets","https://www.youtube.com/user/AusAirForceCadets","Department of Defence"
"googleplus-air-force-cadets","Australian Air Force Cadets","Australian Air Force Cadets","https://plus.google.com/+AafcOrgAu/posts","Australian Air Force Cadets"
"linkedin-australian-air-force-cadets","Australian Air Force Cadets","Australian Air Force Cadets","https://www.linkedin.com/company/australian-air-force-cadets","Australian Air Force Cadets"
"facebook-australian-air-force-cadets","Australian Air Force Cadets","Australian Air Force Cadets","http://dfat.gov.au/news/media-releases/pages/media-releases.aspx","Australian Air Force Cadets"
"flickr-australian-alps","Australian Alps","Australian Alps","https://www.flickr.com/photos/australianalps/","Department of the Environment and Energy"
"twitter-ausawg","Australian Ambassador for Women and Girls","@AusAWG","https://twitter.com/ausawg","Department of Foreign Affairs and Trade"
"rss-australian-antarctic-division","Australian Antarctic Division","RSS feed","http://www.antarctica.gov.au/index/rss/news","Australian Antarctic Division"
"youtube-australian-antarctic-division","Australian Antarctic Division","Australian Antarctic Division","https://www.youtube.com/user/AusAntarctic","Australian Antarctic Division"
"linkedin-australian-antarctic-division","Australian Antarctic Division","Australian Antarctic Division","https://www.linkedin.com/company/43865","Australian Antarctic Division"
"facebook-australian-apprenticeships-ambassadors","Australian Apprenticeships Ambassadors","Australian Apprenticeships Ambassadors","https://www.facebook.com/AustralianApprenticeshipsAmbassadors/","Department of Education and Training"
"flickr-australian-army","Australian Army","The Australian Army","https://www.flickr.com/photos/australianarmy/","Department of Defence"
